"laus_code","state_fips_code","county_fips_code","county_and_state","year","labor_force","employed","unemployed","unemployment_rate_pct"
"CN0100100000000","1","1","Autauga County, AL","2019","26172","25458","714","2.7"
"CN0100300000000","1","3","Baldwin County, AL","2019","97328","94675","2653","2.7"
"CN0100500000000","1","5","Barbour County, AL","2019","8537","8213","324","3.8"
"CN0100700000000","1","7","Bibb County, AL","2019","8685","8419","266","3.1"
"CN0100900000000","1","9","Blount County, AL","2019","25331","24655","676","2.7"
"CN0101100000000","1","11","Bullock County, AL","2019","4818","4643","175","3.6"
"CN0101300000000","1","13","Butler County, AL","2019","9263","8925","338","3.6"
"CN0101500000000","1","15","Calhoun County, AL","2019","46209","44574","1635","3.5"
"CN0101700000000","1","17","Chambers County, AL","2019","15748","15286","462","2.9"
"CN0101900000000","1","19","Cherokee County, AL","2019","11604","11266","338","2.9"
"CN0102100000000","1","21","Chilton County, AL","2019","19818","19280","538","2.7"
"CN0102300000000","1","23","Choctaw County, AL","2019","4670","4452","218","4.7"
"CN0102500000000","1","25","Clarke County, AL","2019","7557","7121","436","5.8"
"CN0102700000000","1","27","Clay County, AL","2019","6101","5918","183","3"
"CN0102900000000","1","29","Cleburne County, AL","2019","5806","5623","183","3.2"
"CN0103100000000","1","31","Coffee County, AL","2019","21402","20779","623","2.9"
"CN0103300000000","1","33","Colbert County, AL","2019","23646","22761","885","3.7"
"CN0103500000000","1","35","Conecuh County, AL","2019","4533","4353","180","4"
"CN0103700000000","1","37","Coosa County, AL","2019","4549","4414","135","3"
"CN0103900000000","1","39","Covington County, AL","2019","15653","15119","534","3.4"
"CN0104100000000","1","41","Crenshaw County, AL","2019","6476","6293","183","2.8"
"CN0104300000000","1","43","Cullman County, AL","2019","38646","37648","998","2.6"
"CN0104500000000","1","45","Dale County, AL","2019","20724","20082","642","3.1"
"CN0104700000000","1","47","Dallas County, AL","2019","14711","13904","807","5.5"
"CN0104900000000","1","49","DeKalb County, AL","2019","31052","30182","870","2.8"
"CN0105100000000","1","51","Elmore County, AL","2019","37565","36586","979","2.6"
"CN0105300000000","1","53","Escambia County, AL","2019","14762","14248","514","3.5"
"CN0105500000000","1","55","Etowah County, AL","2019","42723","41295","1428","3.3"
"CN0105700000000","1","57","Fayette County, AL","2019","6579","6372","207","3.1"
"CN0105900000000","1","59","Franklin County, AL","2019","14696","14291","405","2.8"
"CN0106100000000","1","61","Geneva County, AL","2019","11045","10725","320","2.9"
"CN0106300000000","1","63","Greene County, AL","2019","2883","2722","161","5.6"
"CN0106500000000","1","65","Hale County, AL","2019","6119","5878","241","3.9"
"CN0106700000000","1","67","Henry County, AL","2019","6944","6697","247","3.6"
"CN0106900000000","1","69","Houston County, AL","2019","46234","44844","1390","3"
"CN0107100000000","1","71","Jackson County, AL","2019","23484","22712","772","3.3"
"CN0107300000000","1","73","Jefferson County, AL","2019","318755","309664","9091","2.9"
"CN0107500000000","1","75","Lamar County, AL","2019","5849","5670","179","3.1"
"CN0107700000000","1","77","Lauderdale County, AL","2019","42548","41160","1388","3.3"
"CN0107900000000","1","79","Lawrence County, AL","2019","14306","13859","447","3.1"
"CN0108100000000","1","81","Lee County, AL","2019","76580","74500","2080","2.7"
"CN0108300000000","1","83","Limestone County, AL","2019","43854","42700","1154","2.6"
"CN0108500000000","1","85","Lowndes County, AL","2019","3587","3383","204","5.7"
"CN0108700000000","1","87","Macon County, AL","2019","7850","7513","337","4.3"
"CN0108900000000","1","89","Madison County, AL","2019","185219","180505","4714","2.5"
"CN0109100000000","1","91","Marengo County, AL","2019","7694","7423","271","3.5"
"CN0109300000000","1","93","Marion County, AL","2019","12932","12486","446","3.4"
"CN0109500000000","1","95","Marshall County, AL","2019","44085","42999","1086","2.5"
"CN0109700000000","1","97","Mobile County, AL","2019","189107","182083","7024","3.7"
"CN0109900000000","1","99","Monroe County, AL","2019","7329","6973","356","4.9"
"CN0110100000000","1","101","Montgomery County, AL","2019","105777","102517","3260","3.1"
"CN0110300000000","1","103","Morgan County, AL","2019","58271","56771","1500","2.6"
"CN0110500000000","1","105","Perry County, AL","2019","3413","3235","178","5.2"
"CN0110700000000","1","107","Pickens County, AL","2019","7923","7647","276","3.5"
"CN0110900000000","1","109","Pike County, AL","2019","15428","14924","504","3.3"
"CN0111100000000","1","111","Randolph County, AL","2019","9639","9347","292","3"
"CN0111300000000","1","113","Russell County, AL","2019","23896","23198","698","2.9"
"CN0111500000000","1","115","St. Clair County, AL","2019","40532","39441","1091","2.7"
"CN0111700000000","1","117","Shelby County, AL","2019","115939","113414","2525","2.2"
"CN0111900000000","1","119","Sumter County, AL","2019","4854","4635","219","4.5"
"CN0112100000000","1","121","Talladega County, AL","2019","35769","34556","1213","3.4"
"CN0112300000000","1","123","Tallapoosa County, AL","2019","18652","18096","556","3"
"CN0112500000000","1","125","Tuscaloosa County, AL","2019","104964","102122","2842","2.7"
"CN0112700000000","1","127","Walker County, AL","2019","25347","24517","830","3.3"
"CN0112900000000","1","129","Washington County, AL","2019","6800","6487","313","4.6"
"CN0113100000000","1","131","Wilcox County, AL","2019","2739","2544","195","7.1"
"CN0113300000000","1","133","Winston County, AL","2019","10041","9705","336","3.3"
"CN0201300000000","2","13","Aleutians East Borough, AK","2019","2428","2360","68","2.8"
"CN0201600000000","2","16","Aleutians West Census Area, AK","2019","3606","3477","129","3.6"
"CN0202000000000","2","20","Anchorage Borough/municipality, AK","2019","146949","139526","7423","5.1"
"CN0205000000000","2","50","Bethel Census Area, AK","2019","7025","6120","905","12.9"
"CN0206000000000","2","60","Bristol Bay Borough, AK","2019","441","414","27","6.1"
"CN0206800000000","2","68","Denali Borough, AK","2019","1038","950","88","8.5"
"CN0207000000000","2","70","Dillingham Census Area, AK","2019","1938","1781","157","8.1"
"CN0209000000000","2","90","Fairbanks North Star Borough, AK","2019","44652","42248","2404","5.4"
"CN0210000000000","2","100","Haines Borough, AK","2019","1111","1012","99","8.9"
"CN0210500000000","2","105","Hoonah-Angoon Census Area, AK","2019","1160","1028","132","11.4"
"CN0211000000000","2","110","Juneau Borough/city, AK","2019","16999","16243","756","4.4"
"CN0212200000000","2","122","Kenai Peninsula Borough, AK","2019","26161","24383","1778","6.8"
"CN0213000000000","2","130","Ketchikan Gateway Borough, AK","2019","6884","6456","428","6.2"
"CN0215000000000","2","150","Kodiak Island Borough, AK","2019","5912","5582","330","5.6"
"CN0215800000000","2","158","Kusilvak Census Area, AK","2019","2682","2164","518","19.3"
"CN0216400000000","2","164","Lake and Peninsula Borough, AK","2019","708","638","70","9.9"
"CN0217000000000","2","170","Matanuska-Susitna Borough, AK","2019","46901","43661","3240","6.9"
"CN0218000000000","2","180","Nome Census Area, AK","2019","4036","3596","440","10.9"
"CN0218500000000","2","185","North Slope Borough, AK","2019","3485","3261","224","6.4"
"CN0218800000000","2","188","Northwest Arctic Borough, AK","2019","2934","2523","411","14"
"CN0219500000000","2","195","Petersburg Borough, AK","2019","1388","1267","121","8.7"
"CN0219800000000","2","198","Prince of Wales-Hyder Census Area, AK","2019","2851","2562","289","10.1"
"CN0222000000000","2","220","Sitka Borough/city, AK","2019","4336","4155","181","4.2"
"CN0223000000000","2","230","Skagway Municipality, AK","2019","822","746","76","9.2"
"CN0224000000000","2","240","Southeast Fairbanks Census Area, AK","2019","2810","2558","252","9"
"CN0226100000000","2","261","Valdez-Cordova Census Area, AK","2019","4815","4452","363","7.5"
"CN0227500000000","2","275","Wrangell Borough/city, AK","2019","1002","925","77","7.7"
"CN0228200000000","2","282","Yakutat Borough/city, AK","2019","246","227","19","7.7"
"CN0229000000000","2","290","Yukon-Koyukuk Census Area, AK","2019","2458","2113","345","14"
"CN0400100000000","4","1","Apache County, AZ","2019","20487","18468","2019","9.9"
"CN0400300000000","4","3","Cochise County, AZ","2019","50594","47695","2899","5.7"
"CN0400500000000","4","5","Coconino County, AZ","2019","77507","73206","4301","5.5"
"CN0400700000000","4","7","Gila County, AZ","2019","21677","20485","1192","5.5"
"CN0400900000000","4","9","Graham County, AZ","2019","15351","14608","743","4.8"
"CN0401100000000","4","11","Greenlee County, AZ","2019","4520","4342","178","3.9"
"CN0401200000000","4","12","La Paz County, AZ","2019","9334","8789","545","5.8"
"CN0401300000000","4","13","Maricopa County, AZ","2019","2310503","2217656","92847","4"
"CN0401500000000","4","15","Mohave County, AZ","2019","87792","82815","4977","5.7"
"CN0401700000000","4","17","Navajo County, AZ","2019","40979","37973","3006","7.3"
"CN0401900000000","4","19","Pima County, AZ","2019","498695","476620","22075","4.4"
"CN0402100000000","4","21","Pinal County, AZ","2019","187480","178309","9171","4.9"
"CN0402300000000","4","23","Santa Cruz County, AZ","2019","19636","17963","1673","8.5"
"CN0402500000000","4","25","Yavapai County, AZ","2019","106880","102138","4742","4.4"
"CN0402700000000","4","27","Yuma County, AZ","2019","99824","83437","16387","16.4"
"CN0500100000000","5","1","Arkansas County, AR","2019","9427","9141","286","3"
"CN0500300000000","5","3","Ashley County, AR","2019","7751","7333","418","5.4"
"CN0500500000000","5","5","Baxter County, AR","2019","16296","15646","650","4"
"CN0500700000000","5","7","Benton County, AR","2019","137211","133610","3601","2.6"
"CN0500900000000","5","9","Boone County, AR","2019","16036","15525","511","3.2"
"CN0501100000000","5","11","Bradley County, AR","2019","4483","4298","185","4.1"
"CN0501300000000","5","13","Calhoun County, AR","2019","2453","2345","108","4.4"
"CN0501500000000","5","15","Carroll County, AR","2019","12783","12383","400","3.1"
"CN0501700000000","5","17","Chicot County, AR","2019","3285","3057","228","6.9"
"CN0501900000000","5","19","Clark County, AR","2019","9691","9323","368","3.8"
"CN0502100000000","5","21","Clay County, AR","2019","5691","5413","278","4.9"
"CN0502300000000","5","23","Cleburne County, AR","2019","9226","8808","418","4.5"
"CN0502500000000","5","25","Cleveland County, AR","2019","3219","3092","127","3.9"
"CN0502700000000","5","27","Columbia County, AR","2019","9140","8730","410","4.5"
"CN0502900000000","5","29","Conway County, AR","2019","8285","7926","359","4.3"
"CN0503100000000","5","31","Craighead County, AR","2019","55652","54097","1555","2.8"
"CN0503300000000","5","33","Crawford County, AR","2019","26922","26028","894","3.3"
"CN0503500000000","5","35","Crittenden County, AR","2019","21422","20512","910","4.2"
"CN0503700000000","5","37","Cross County, AR","2019","7411","7097","314","4.2"
"CN0503900000000","5","39","Dallas County, AR","2019","2840","2706","134","4.7"
"CN0504100000000","5","41","Desha County, AR","2019","5402","5161","241","4.5"
"CN0504300000000","5","43","Drew County, AR","2019","7864","7456","408","5.2"
"CN0504500000000","5","45","Faulkner County, AR","2019","62431","60556","1875","3"
"CN0504700000000","5","47","Franklin County, AR","2019","7494","7242","252","3.4"
"CN0504900000000","5","49","Fulton County, AR","2019","4962","4763","199","4"
"CN0505100000000","5","51","Garland County, AR","2019","41346","39809","1537","3.7"
"CN0505300000000","5","53","Grant County, AR","2019","8403","8136","267","3.2"
"CN0505500000000","5","55","Greene County, AR","2019","20065","19366","699","3.5"
"CN0505700000000","5","57","Hempstead County, AR","2019","9951","9571","380","3.8"
"CN0505900000000","5","59","Hot Spring County, AR","2019","14019","13509","510","3.6"
"CN0506100000000","5","61","Howard County, AR","2019","5711","5525","186","3.3"
"CN0506300000000","5","63","Independence County, AR","2019","16527","15868","659","4"
"CN0506500000000","5","65","Izard County, AR","2019","4912","4643","269","5.5"
"CN0506700000000","5","67","Jackson County, AR","2019","5840","5460","380","6.5"
"CN0506900000000","5","69","Jefferson County, AR","2019","27740","26220","1520","5.5"
"CN0507100000000","5","71","Johnson County, AR","2019","10278","9809","469","4.6"
"CN0507300000000","5","73","Lafayette County, AR","2019","2466","2351","115","4.7"
"CN0507500000000","5","75","Lawrence County, AR","2019","6817","6533","284","4.2"
"CN0507700000000","5","77","Lee County, AR","2019","2833","2706","127","4.5"
"CN0507900000000","5","79","Lincoln County, AR","2019","3950","3777","173","4.4"
"CN0508100000000","5","81","Little River County, AR","2019","5518","5280","238","4.3"
"CN0508300000000","5","83","Logan County, AR","2019","8583","8210","373","4.3"
"CN0508500000000","5","85","Lonoke County, AR","2019","34468","33359","1109","3.2"
"CN0508700000000","5","87","Madison County, AR","2019","7427","7238","189","2.5"
"CN0508900000000","5","89","Marion County, AR","2019","6673","6406","267","4"
"CN0509100000000","5","91","Miller County, AR","2019","19750","18941","809","4.1"
"CN0509300000000","5","93","Mississippi County, AR","2019","17358","16467","891","5.1"
"CN0509500000000","5","95","Monroe County, AR","2019","2761","2642","119","4.3"
"CN0509700000000","5","97","Montgomery County, AR","2019","2970","2832","138","4.6"
"CN0509900000000","5","99","Nevada County, AR","2019","3662","3517","145","4"
"CN0510100000000","5","101","Newton County, AR","2019","3335","3218","117","3.5"
"CN0510300000000","5","103","Ouachita County, AR","2019","9838","9330","508","5.2"
"CN0510500000000","5","105","Perry County, AR","2019","4275","4100","175","4.1"
"CN0510700000000","5","107","Phillips County, AR","2019","6379","5996","383","6"
"CN0510900000000","5","109","Pike County, AR","2019","4250","4086","164","3.9"
"CN0511100000000","5","111","Poinsett County, AR","2019","10279","9929","350","3.4"
"CN0511300000000","5","113","Polk County, AR","2019","8121","7782","339","4.2"
"CN0511500000000","5","115","Pope County, AR","2019","28869","27618","1251","4.3"
"CN0511700000000","5","117","Prairie County, AR","2019","3586","3430","156","4.4"
"CN0511900000000","5","119","Pulaski County, AR","2019","190248","183776","6472","3.4"
"CN0512100000000","5","121","Randolph County, AR","2019","7301","7017","284","3.9"
"CN0512300000000","5","123","St. Francis County, AR","2019","8197","7772","425","5.2"
"CN0512500000000","5","125","Saline County, AR","2019","59114","57450","1664","2.8"
"CN0512700000000","5","127","Scott County, AR","2019","4314","4167","147","3.4"
"CN0512900000000","5","129","Searcy County, AR","2019","2914","2781","133","4.6"
"CN0513100000000","5","131","Sebastian County, AR","2019","56698","54834","1864","3.3"
"CN0513300000000","5","133","Sevier County, AR","2019","5513","5248","265","4.8"
"CN0513500000000","5","135","Sharp County, AR","2019","5742","5457","285","5"
"CN0513700000000","5","137","Stone County, AR","2019","4726","4503","223","4.7"
"CN0513900000000","5","139","Union County, AR","2019","15847","15018","829","5.2"
"CN0514100000000","5","141","Van Buren County, AR","2019","5741","5455","286","5"
"CN0514300000000","5","143","Washington County, AR","2019","124967","121914","3053","2.4"
"CN0514500000000","5","145","White County, AR","2019","33800","32281","1519","4.5"
"CN0514700000000","5","147","Woodruff County, AR","2019","2773","2627","146","5.3"
"CN0514900000000","5","149","Yell County, AR","2019","8417","8081","336","4"
"CN0600100000000","6","1","Alameda County, CA","2019","844346","819675","24671","2.9"
"CN0600300000000","6","3","Alpine County, CA","2019","551","523","28","5.1"
"CN0600500000000","6","5","Amador County, CA","2019","14900","14328","572","3.8"
"CN0600700000000","6","7","Butte County, CA","2019","99242","94162","5080","5.1"
"CN0600900000000","6","9","Calaveras County, CA","2019","21428","20616","812","3.8"
"CN0601100000000","6","11","Colusa County, CA","2019","10993","9586","1407","12.8"
"CN0601300000000","6","13","Contra Costa County, CA","2019","561757","544496","17261","3.1"
"CN0601500000000","6","15","Del Norte County, CA","2019","9674","9119","555","5.7"
"CN0601700000000","6","17","El Dorado County, CA","2019","92022","88785","3237","3.5"
"CN0601900000000","6","19","Fresno County, CA","2019","450760","418092","32668","7.2"
"CN0602100000000","6","21","Glenn County, CA","2019","12997","12201","796","6.1"
"CN0602300000000","6","23","Humboldt County, CA","2019","62507","60254","2253","3.6"
"CN0602500000000","6","25","Imperial County, CA","2019","71411","58331","13080","18.3"
"CN0602700000000","6","27","Inyo County, CA","2019","8760","8450","310","3.5"
"CN0602900000000","6","29","Kern County, CA","2019","390999","360783","30216","7.7"
"CN0603100000000","6","31","Kings County, CA","2019","57788","53222","4566","7.9"
"CN0603300000000","6","33","Lake County, CA","2019","29158","27687","1471","5"
"CN0603500000000","6","35","Lassen County, CA","2019","9869","9416","453","4.6"
"CN0603700000000","6","37","Los Angeles County, CA","2019","5121584","4894296","227288","4.4"
"CN0603900000000","6","39","Madera County, CA","2019","61945","57651","4294","6.9"
"CN0604100000000","6","41","Marin County, CA","2019","139979","136786","3193","2.3"
"CN0604300000000","6","43","Mariposa County, CA","2019","7612","7262","350","4.6"
"CN0604500000000","6","45","Mendocino County, CA","2019","38934","37388","1546","4"
"CN0604700000000","6","47","Merced County, CA","2019","116226","106866","9360","8.1"
"CN0604900000000","6","49","Modoc County, CA","2019","3171","2947","224","7.1"
"CN0605100000000","6","51","Mono County, CA","2019","8508","8195","313","3.7"
"CN0605300000000","6","53","Monterey County, CA","2019","222516","208717","13799","6.2"
"CN0605500000000","6","55","Napa County, CA","2019","74004","71900","2104","2.8"
"CN0605700000000","6","57","Nevada County, CA","2019","48639","47022","1617","3.3"
"CN0605900000000","6","59","Orange County, CA","2019","1623421","1578334","45087","2.8"
"CN0606100000000","6","61","Placer County, CA","2019","187932","182093","5839","3.1"
"CN0606300000000","6","63","Plumas County, CA","2019","7903","7296","607","7.7"
"CN0606500000000","6","65","Riverside County, CA","2019","1104035","1057884","46151","4.2"
"CN0606700000000","6","67","Sacramento County, CA","2019","712394","686298","26096","3.7"
"CN0606900000000","6","69","San Benito County, CA","2019","31432","29845","1587","5"
"CN0607100000000","6","71","San Bernardino County, CA","2019","967719","930709","37010","3.8"
"CN0607300000000","6","73","San Diego County, CA","2019","1590591","1539948","50643","3.2"
"CN0607500000000","6","75","San Francisco County/city, CA","2019","583186","570412","12774","2.2"
"CN0607700000000","6","77","San Joaquin County, CA","2019","327077","307854","19223","5.9"
"CN0607900000000","6","79","San Luis Obispo County, CA","2019","140931","136914","4017","2.9"
"CN0608100000000","6","81","San Mateo County, CA","2019","460044","450647","9397","2"
"CN0608300000000","6","83","Santa Barbara County, CA","2019","217882","209843","8039","3.7"
"CN0608500000000","6","85","Santa Clara County, CA","2019","1053723","1027527","26196","2.5"
"CN0608700000000","6","87","Santa Cruz County, CA","2019","142277","135530","6747","4.7"
"CN0608900000000","6","89","Shasta County, CA","2019","74353","70878","3475","4.7"
"CN0609100000000","6","91","Sierra County, CA","2019","1326","1255","71","5.4"
"CN0609300000000","6","93","Siskiyou County, CA","2019","17227","16109","1118","6.5"
"CN0609500000000","6","95","Solano County, CA","2019","209527","201672","7855","3.7"
"CN0609700000000","6","97","Sonoma County, CA","2019","259394","252428","6966","2.7"
"CN0609900000000","6","99","Stanislaus County, CA","2019","243454","228753","14701","6"
"CN0610100000000","6","101","Sutter County, CA","2019","45785","42440","3345","7.3"
"CN0610300000000","6","103","Tehama County, CA","2019","25650","24228","1422","5.5"
"CN0610500000000","6","105","Trinity County, CA","2019","4693","4436","257","5.5"
"CN0610700000000","6","107","Tulare County, CA","2019","203980","184353","19627","9.6"
"CN0610900000000","6","109","Tuolumne County, CA","2019","21317","20366","951","4.5"
"CN0611100000000","6","111","Ventura County, CA","2019","423390","408169","15221","3.6"
"CN0611300000000","6","113","Yolo County, CA","2019","108658","104220","4438","4.1"
"CN0611500000000","6","115","Yuba County, CA","2019","29997","28182","1815","6.1"
"CN0800100000000","8","1","Adams County, CO","2019","275440","267375","8065","2.9"
"CN0800300000000","8","3","Alamosa County, CO","2019","8726","8413","313","3.6"
"CN0800500000000","8","5","Arapahoe County, CO","2019","368504","358574","9930","2.7"
"CN0800700000000","8","7","Archuleta County, CO","2019","6937","6717","220","3.2"
"CN0800900000000","8","9","Baca County, CO","2019","2175","2138","37","1.7"
"CN0801100000000","8","11","Bent County, CO","2019","1919","1863","56","2.9"
"CN0801300000000","8","13","Boulder County, CO","2019","196991","192351","4640","2.4"
"CN0801400000000","8","14","Broomfield County/city, CO","2019","40520","39528","992","2.4"
"CN0801500000000","8","15","Chaffee County, CO","2019","9871","9636","235","2.4"
"CN0801700000000","8","17","Cheyenne County, CO","2019","1173","1154","19","1.6"
"CN0801900000000","8","19","Clear Creek County, CO","2019","6110","5960","150","2.5"
"CN0802100000000","8","21","Conejos County, CO","2019","4165","4013","152","3.6"
"CN0802300000000","8","23","Costilla County, CO","2019","1888","1814","74","3.9"
"CN0802500000000","8","25","Crowley County, CO","2019","1525","1460","65","4.3"
"CN0802700000000","8","27","Custer County, CO","2019","2088","2025","63","3"
"CN0802900000000","8","29","Delta County, CO","2019","14519","14035","484","3.3"
"CN0803100000000","8","31","Denver County/city, CO","2019","421322","409974","11348","2.7"
"CN0803300000000","8","33","Dolores County, CO","2019","1164","1129","35","3"
"CN0803500000000","8","35","Douglas County, CO","2019","196248","191586","4662","2.4"
"CN0803700000000","8","37","Eagle County, CO","2019","37073","36241","832","2.2"
"CN0803900000000","8","39","Elbert County, CO","2019","15344","15009","335","2.2"
"CN0804100000000","8","41","El Paso County, CO","2019","342735","331453","11282","3.3"
"CN0804300000000","8","43","Fremont County, CO","2019","15251","14548","703","4.6"
"CN0804500000000","8","45","Garfield County, CO","2019","32910","32021","889","2.7"
"CN0804700000000","8","47","Gilpin County, CO","2019","3820","3732","88","2.3"
"CN0804900000000","8","49","Grand County, CO","2019","9978","9765","213","2.1"
"CN0805100000000","8","51","Gunnison County, CO","2019","11594","11346","248","2.1"
"CN0805300000000","8","53","Hinsdale County, CO","2019","438","422","16","3.7"
"CN0805500000000","8","55","Huerfano County, CO","2019","2542","2396","146","5.7"
"CN0805700000000","8","57","Jackson County, CO","2019","1003","980","23","2.3"
"CN0805900000000","8","59","Jefferson County, CO","2019","338722","330124","8598","2.5"
"CN0806100000000","8","61","Kiowa County, CO","2019","965","950","15","1.6"
"CN0806300000000","8","63","Kit Carson County, CO","2019","4365","4292","73","1.7"
"CN0806500000000","8","65","Lake County, CO","2019","4994","4878","116","2.3"
"CN0806700000000","8","67","La Plata County, CO","2019","32305","31495","810","2.5"
"CN0806900000000","8","69","Larimer County, CO","2019","206483","201624","4859","2.4"
"CN0807100000000","8","71","Las Animas County, CO","2019","6635","6377","258","3.9"
"CN0807300000000","8","73","Lincoln County, CO","2019","2431","2375","56","2.3"
"CN0807500000000","8","75","Logan County, CO","2019","11167","10904","263","2.4"
